sku,prueba,pValue
21,bolOpen vs weekday,6.5165650530219e-107
21,bolHoliday vs promo,0.12283450981541383
21,bolHoliday vs weekday,1.693862687693574e-99
21,bolHoliday vs bolOpen,1.1552670736956414e-135
22,promo vs weekday,0.9963976271454764
22,promo vs bolOpen,0.21936147614122078
22,bolOpen vs weekday,1.4197753646033676e-63
22,bolHoliday vs promo,0.18496373759017504
22,bolHoliday vs weekday,2.8100025986200162e-102
22,bolHoliday vs bolOpen,1.0207706142350735e-84
23,promo vs weekday,0.9963976271454764
23,promo vs bolOpen,0.16860463359535943
23,bolOpen vs weekday,2.324317102385867e-62
23,bolHoliday vs promo,0.07275780626104889
23,bolHoliday vs weekday,4.0511838731624033e-100
23,bolHoliday vs bolOpen,3.033608840423082e-84
24,promo vs weekday,0.9969876259484729
24,promo vs bolOpen,0.030935105619855182
24,bolOpen vs weekday,2.324317102385867e-62
24,bolHoliday vs promo,0.02460005778183108
24,bolHoliday vs weekday,4.0511838731624033e-100
24,bolHoliday vs bolOpen,3.033608840423082e-84
25,promo vs weekday,0.9999917926268256
25,promo vs bolOpen,1.0
25,bolOpen vs weekday,1.0
25,bolHoliday vs promo,1.0
25,bolHoliday vs weekday,1.0
25,bolHoliday vs bolOpen,1.0
26,promo vs weekday,0.9969876259484729
26,promo vs bolOpen,0.2973739556492217
26,bolOpen vs weekday,1.085410499195868e-103
26,bolHoliday vs promo,0.10802897774540106
26,bolHoliday vs weekday,3.7513387919290853e-100
26,bolHoliday vs bolOpen,7.026130725383532e-122
27,promo vs weekday,0.9977988392572147
27,promo vs bolOpen,0.3085636094275728
27,bolOpen vs weekday,6.030519492794265e-107
27,bolHoliday vs promo,0.2546951755239689
27,bolHoliday vs weekday,1.4490272802898155e-99
27,bolHoliday vs bolOpen,1.1552670736956414e-135
28,promo vs weekday,0.9977988392572147
28,promo vs bolOpen,0.24251275837627861
28,bolOpen vs weekday,5.909627241842805e-99
28,bolHoliday vs promo,0.26704143141540115
28,bolHoliday vs weekday,3.7968774444961455e-97
28,bolHoliday vs bolOpen,5.014383281530817e-128
29,promo vs weekday,0.9966101430769535
29,promo vs bolOpen,0.06632992623803716
29,bolOpen vs weekday,5.909627241842805e-99
29,bolHoliday vs promo,0.022134500709257352
29,bolHoliday vs weekday,3.7968774444961455e-97
29,bolHoliday vs bolOpen,5.014383281530817e-128
30,promo vs weekday,0.9999985494558818
30,promo vs bolOpen,1.0
30,bolOpen vs weekday,1.0
30,bolHoliday vs promo,1.0
30,bolHoliday vs weekday,1.0
30,bolHoliday vs bolOpen,1.0
31,promo vs weekday,0.9966101430769535
31,promo vs bolOpen,0.26609479410152015
31,bolOpen vs weekday,5.973094632322571e-104
31,bolHoliday vs promo,0.0369215098796428
31,bolHoliday vs weekday,9.186836903277314e-99
31,bolHoliday vs bolOpen,1.4778809041788716e-123
32,promo vs weekday,0.9987913111676995
32,promo vs bolOpen,0.17832514358424822
32,bolOpen vs weekday,1.4197753646033676e-63
32,bolHoliday vs promo,0.6778964133028538
32,bolHoliday vs weekday,2.8100025986200162e-102
32,bolHoliday vs bolOpen,1.0207706142350735e-84
33,promo vs weekday,0.9966101430769535
33,promo vs bolOpen,0.3161586950252727
33,bolOpen vs weekday,9.999462363114776e-98
33,bolHoliday vs promo,0.03269639791258489
33,bolHoliday vs weekday,1.1744439152316264e-97
33,bolHoliday vs bolOpen,3.032463189882357e-119
34,promo vs weekday,0.9966101430769535
34,promo vs bolOpen,0.07424226322598733
34,bolOpen vs weekday,1.9189480866985953e-97
34,bolHoliday vs promo,0.022134500709257352
34,bolHoliday vs weekday,3.2557551920812554e-97
