sku,r2,explained_variance,MAE,MSE,Median_MSE,RMSE
1,0.9972128732479364,0.997252461711344,0.005309691046979377,0.00014143354073267082,0.0016261261261274057,0.011892583433916738
2,0.9967371863584963,0.9968028193775552,0.007091150790054101,0.00019145438421407413,0.002673796791443639,0.01383670423959673
3,0.9963411107998796,0.9964419530958176,0.006580075115562399,0.00016346816799300788,0.0025000000000000022,0.012785467061981267
4,0.9970968225303721,0.9971117600624432,0.00615733607259033,0.00017436654682417404,0.0016666666666666774,0.013204792570281974
5,0.9978261546540228,0.9978535327199669,0.004604025917585303,0.00010419059855767241,0.0012820512820504032,0.010207379612695532
6,0.9957499153899485,0.9957749408775095,0.006421845574387955,0.00022932969914865142,0.0016666666666667052,0.015143635598780479
7,0.9990649124587191,0.9990784378887803,0.003385455306359514,6.014642660122206e-05,0.0007407407407449274,0.007755412729263483
8,0.9977279027084277,0.9977558360079365,0.0052823950859392805,0.00015460531731382077,0.001065197428832904,0.012434038656599904
9,0.9971923070625126,0.9972347377787061,0.0050144667009074904,0.00015582964467478867,0.0009999999999996886,0.012483174463043792
10,0.9980398119986958,0.9980720085457169,0.0038252567612174124,0.00010258613382346766,0.0007560137457026106,0.010128481318710504
11,0.99799401427536,0.9980256399128244,0.0052254180220282845,0.00013787596330825416,0.0011616161616162524,0.011742059585449827
12,0.9980598064014029,0.9980927907267539,0.003963814225113979,0.00010395142166207465,0.0005976430976460112,0.010195657000020874
13,0.9982423072854563,0.9982665119103905,0.0040712206813902025,0.00010828137037750441,0.0006249999999999867,0.010405833478270945
14,0.9979983131496019,0.9980250303174347,0.0058281972265023995,0.00014714892749904097,0.001313131313130933,0.012130495764767447
15,0.9954659572194035,0.9955220652434896,0.005690164355418601,0.0002141573996254276,1.1102230246251565e-16,0.014634117657905706
16,0.9968271278762858,0.9968663675764117,0.0054520630029105495,0.00017266742411272198,0.0009393939393947393,0.013140297717811495
17,0.9980098885544116,0.9980382218313651,0.004372269788572633,0.00011580935132109089,0.0005326460481104439,0.010761475331992862
18,0.9972108035207458,0.9972606708420216,0.0055322052920922194,0.00017545163523595108,0.00144781144781575,0.013245815763325076
19,0.998640722306556,0.9986466845346524,0.003698669503754176,8.518213327260797e-05,0.0003571428571479407,0.009229416735233488
20,0.997867374337559,0.9978939110346782,0.004615838231657528,0.00012550844991732763,0.0007407407407407408,0.011203055383123285
21,0.9980885920278327,0.9981298263477668,0.004577555213148441,0.00012186456019004862,0.0004734848484848758,0.011039228242501765
22,0.9970777209218361,0.9971202230215171,0.005466829751296,0.0001636760812613003,1.942890293094024e-16,0.012793595321929653
23,0.9977544146802183,0.997790061598961,0.004370238400958762,0.00012524466525002244,0.0006249999999999867,0.011191276301209904
24,0.997441654222474,0.9974824969862915,0.00498773041145933,0.000126735280672964,0.001111111111111087,0.01125767652195443
25,0.9977611649224091,0.9977768826746956,0.004037621982537242,0.00011611713908329425,0.0004166666666666763,0.010775766287521934
26,0.9962939366800938,0.9963336749289218,0.00578736517719572,0.00020687989291995402,0.0007121212121196652,0.014383319954723736
27,0.997977375082505,0.9980070945669807,0.005158390044512928,0.0001330947837266148,0.0010795454545453054,0.011536671258496308
28,0.9968859333720622,0.9969504303454146,0.005865112994350281,0.00019690469311761685,0.00045454545454545455,0.014032273269774105
29,0.9984408550389439,0.9984541642352148,0.0034313473720256346,0.0001001394536118273,0.0001731601731609217,0.010006970251371155
30,0.9971244413861529,0.9971473131715837,0.005388045552829098,0.0001747460932413972,0.000796857463524361,0.013219156298395037
